Day,Week,Hour,Minute,Qurter,Date,timestamp,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24
30,18,12,19,2,30-04-2009,19:04.6,Sslc karnataka,Karunya,Sslc 2009,Labour day in india,Pinkvilla,,,,,,,,,,,,,,,,,,,,
1,18,12,19,2,01-05-2009,19:05.4,Cgpsc,Chhattisgarh psc,Mponline,Chhattisgarh public service commission,Mithrudu review,,,,,,,,,,,,,,,,,,,,
2,18,12,19,2,02-05-2009,19:03.5,Vit,Vit vellore,Tamilnadu haj committee,Gabriella demetriades,Vodafone zoozoo,,,,,,,,,,,,,,,,,,,,
3,18,12,19,2,03-05-2009,19:04.4,Dillon du preez,Vit vellore,Srmeee 2009 solutions,Viteee,Irctc login,,,,,,,,,,,,,,,,,,,,
4,19,12,19,2,04-05-2009,19:04.1,Upsc,Shubhra saxena,Zoozoo,Andhra bank,Ipl scorecards,,,,,,,,,,,,,,,,,,,,
5,19,12,19,2,05-05-2009,19:05.3,Haj committee maharashtra,Ipl scorecards,Ipl points table,Federal bank,Haj committee uttar pradesh,,,,,,,,,,,,,,,,,,,,
6,19,12,19,2,06-05-2009,19:06.2,Amrita,Tata housing,Boisar,Federal bank,Amrita entrance 2009,,,,,,,,,,,,,,,,,,,,
7,19,12,19,2,07-05-2009,19:09.1,Rcb vs rr,Rabindranath tagore,Icfai,Rashmi sinha,George bailey,,,,,,,,,,,,,,,,,,,,
8,19,12,19,2,08-05-2009,19:05.3,Cet 2009 answer key,Pucresults,Puc kar nic in,Kick movie review,Cusat,,,,,,,,,,,,,,,,,,,,
9,19,12,19,2,09-05-2009,19:05.4,Pucresults,Mms video,Gupshup,Puc kar nic in,Karresults,,,,,,,,,,,,,,,,,,,,
10,19,12,19,2,10-05-2009,19:05.4,Mother s day,Mop vaishnav,Dbt jrf,Icet 2009 key,Arsenal vs chelsea live streaming,,,,,,,,,,,,,,,,,,,,
11,20,12,19,2,11-05-2009,19:05.4,Rgtu time table,Rguhs,Rgpv time table 2009,Jayaprada,Mop vaishnav,,,,,,,,,,,,,,,,,,,,
12,20,12,19,2,12-05-2009,19:03.9,Rcb vs kkr,Result of 8th class pseb,Rrb bhopal,Rajasthan haj committee,Ross taylor,,,,,,,,,,,,,,,,,,,,
13,20,12,19,2,13-05-2009,19:04.6,Exit poll 2009,Star news,Times now,Cnn ibn,Headlines today,,,,,,,,,,,,,,,,,,,,
14,20,12,19,2,14-05-2009,19:04.1,Rcb vs csk,Chennai vs bangalore,Mi vs rr,Eamcet 2009 key,Cri,,,,,,,,,,,,,,,,,,,,
15,20,12,19,2,15-05-2009,19:04.7,Maruti ritz,Maruti suzuki,Ndtv india,Sarvam movie review,Manresults,,,,,,,,,,,,,,,,,,,,
17,20,12,19,2,17-05-2009,19:04.5,Kandasamy songs,Anand pawar,Mcx sx,Department of atomic energy,Mahamastakabhisheka,,,,,,,,,,,,,,,,,,,,
19,21,12,19,2,19-05-2009,19:13.1,Mhada lottery,Cbse,Mhada maharashtra gov in,Mhada mumbai,Mhada versova,,,,,,,,,,,,,,,,,,,,
20,21,12,19,2,20-05-2009,19:12.0,Missing link found,Rr vs kkr,Csk vs kxip,Bseb,School service commission,,,,,,,,,,,,,,,,,,,,
21,21,12,19,2,21-05-2009,19:08.6,Rcb vs dc,Mi vs dd,Eamcet 2009 key,Manish pandey,Apeamcet.org 2009,,,,,,,,,,,,,,,,,,,,
22,21,12,19,2,22-05-2009,19:04.3,Dd vs dc,Cabinet ministers of india,Vayalar ravi,Ambika soni,Jaipal reddy,,,,,,,,,,,,,,,,,,,,
23,21,12,19,2,23-05-2009,19:04.8,Psgcas,Tata sky,Manipal,Aucet,Make my trip,,,,,,,,,,,,,,,,,,,,
24,21,12,19,2,24-05-2009,19:04.0,Ipl final match,Iit jee,Pizza hut bangalore,New pulsar 180,Dune kossatz,,,,,,,,,,,,,,,,,,,,
26,22,12,19,2,26-05-2009,19:04.5,Brilliant pala,Rrb secunderabad,Allahabad high court,Bstc 2009,Google co search,,,,,,,,,,,,,,,,,,,,
27,22,12,19,2,27-05-2009,19:03.7,Gseb,Imintpoints,Madhyamik 2009,Imint,Wbbse,,,,,,,,,,,,,,,,,,,,
28,22,12,19,2,28-05-2009,19:06.4,Dgft,Msu baroda,Agatha sangma,Brilliant pala,Indian air force,,,,,,,,,,,,,,,,,,,,
30,22,12,19,2,30-05-2009,19:04.5,Aieee,Aieee 2009,Dce 2009 solutions,Aieeeresult,Result of aieee,,,,,,,,,,,,,,,,,,,,
2,23,12,19,2,02-06-2009,19:03.8,Dsc key,Wbjee 2009,Jaipuria college kolkata,Iase,Asutosh college,,,,,,,,,,,,,,,,,,,,
3,23,12,19,2,03-06-2009,19:04.4,Vijay tv,Vijay indya,Sun direct,Dps rk puram,Airtel super singer 2008,,,,,,,,,,,,,,,,,,,,
4,23,12,19,2,04-06-2009,19:03.8,Dsc key,Jayam ravi marriage,Environment day,Maharashtra budget 2009,Dsc2008key,,,,,,,,,,,,,,,,,,,,
6,23,12,19,2,06-06-2009,19:05.2,Acbr,Hollywood actress,T20 live score,Acbr delhi,Nokia india,,,,,,,,,,,,,,,,,,,,
7,23,12,19,2,07-06-2009,19:05.1,Sheetal mafatlal,Gju hisar,Mp pet 2009 solutions,Federer wins french open,Rvce,,,,,,,,,,,,,,,,,,,,
9,24,12,19,2,09-06-2009,19:04.4,Pakistan vs netherlands,Nios,Mppsc,National open school,Sicsr,,,,,,,,,,,,,,,,,,,,
10,24,12,19,2,10-06-2009,19:04.2,Sl vs wi,Dce,Srilanka vs west indies,Delhi college of engineering,Dce 2009,,,,,,,,,,,,,,,,,,,,
11,24,12,19,2,11-06-2009,19:04.0,New zealand vs ireland,Calicut university b com result,Tnou hall ticket,Universityofcalicut,Tamilnadu open university hall ticket,,,,,,,,,,,,,,,,,,,,
12,24,12,19,2,12-06-2009,19:04.1,Pak vs sl,Pakistan vs sri lanka,Ip university,Ip results,Indraprastha university,,,,,,,,,,,,,,,,,,,,
14,24,12,19,2,14-06-2009,19:04.5,Jnu,Jnu delhi,India vs england,Ayirathil oruvan songs,Kal kisne dekha torrent,,,,,,,,,,,,,,,,,,,,
15,25,12,19,2,15-06-2009,19:03.3,Davv result,Pakistan vs ireland,Amupmdc,Clat 2009 results,Asso cet 2009 results,,,,,,,,,,,,,,,,,,,,
16,25,12,19,2,16-06-2009,19:04.2,Tybcom results,Mumbai university,Sl vs nz,T.y.b. c.o.m. result,Mumbai university tybcom result,,,,,,,,,,,,,,,,,,,,
17,25,12,19,2,17-06-2009,19:05.1,Ptu result,Vit,Airport authority of india,Fiat india,Union bank of india,,,,,,,,,,,,,,,,,,,,
20,25,12,19,2,20-06-2009,19:03.2,Tancet 2009,Anna university,Gndu results,Tancet result,Gju results,,,,,,,,,,,,,,,,,,,,
23,26,12,19,2,23-06-2009,19:03.9,Bank of india,Vyapam,Mp pet result 2009,Vyapam result,It@school,,,,,,,,,,,,,,,,,,,,
26,26,12,19,2,26-06-2009,19:04.2,Coterie,New york movie review,India vs west indies 2009,Fyjc,Fyjc mumbai,,,,,,,,,,,,,,,,,,,,
27,26,12,19,2,27-06-2009,19:03.3,Magadheera songs,New york torrent,Free downloadable games,Punjab university chandigarh,Bubhopal,,,,,,,,,,,,,,,,,,,,
28,26,12,19,2,28-06-2009,19:03.2,Magadheera songs,Magadheera audio release,Magadheera trailer,Jerry varghese international ltd,Maa tv live,,,,,,,,,,,,,,,,,,,,
29,27,12,19,2,29-06-2009,19:03.5,Dr mgr university results,Bandra worli sea link,Mbbs rank list 2009,Mcd property tax,Shivaji university,,,,,,,,,,,,,,,,,,,,
30,27,12,19,2,30-06-2009,19:03.6,Dsc results,Pune university,Unipune result,Nirupama rao,Pune university results 2009,,,,,,,,,,,,,,,,,,,,
1,27,12,19,3,01-07-2009,19:03.5,Periyar university,Hscs results,Lpu ums,Mkuniversity,Mk university results,,,,,,,,,,,,,,,,,,,,
2,27,12,19,3,02-07-2009,19:03.6,Hindi songs download,Kamasutra in hindi,Xxphoto,Kamasutra condoms,Girls without dress,,,,,,,,,,,,,,,,,,,,
3,27,12,19,3,03-07-2009,19:03.2,Ind vs wi 3rd odi,Kambakht ishq review,Sjce,Railway budget 2009,Rpet 2009,,,,,,,,,,,,,,,,,,,,
